CAR	CAR Only	K562 Parental	RPMI 8226	Raji	K562 CD22	Replicate
UTD	0.79	1.37	1.91	7.14	1.03	1
No Binder	8.17	6.64	9.34	15.1	5.92	1
m971	5.01	3.45	5.76	90	61.4	1
WT	11	11	42.1	61.1	54.5	1
2261	7.77	7.95	10.7	54.7	53.1	1
UTD	3.78	5.59	3.98	3.65	4.28	2
No Binder	2.73	5.33	2.04	0.41	2.49	2
m971	6.14	9.52	9.87	90.7	84.7	2
WT	5.75	7.11	49.2	63.7	73.5	2
2261	4.81	5.33	9	58.1	67.3	2
UTD	4.12	4.1	6.14	8.91	4.2	3
No Binder	2.08	4.19	5	9.65	4.02	3
m971	7.34	8.66	8.91	93.8	87.7	3
WT	3.23	2.91	46	54.4	74.4	3
2261	3.1	3.75	5.56	51.3	76.6	3
